event,lifecycle:transition,org:resource,completeTime,Activity,Resource,org:group,case,case:variant,case:variant-index,case:creator
Accepted-In Progress,complete,Suresh-Org line G4,2012-04-27 16:39:00+03:00,Accepted-In Progress,Suresh,Org line G4,1-628105478,Variant 6,6,Fluxicon Disco
Completed-Closed,complete,Suresh-Org line G4,2012-04-27 16:41:34+03:00,Completed-Closed,Suresh,Org line G4,1-628105478,Variant 6,6,Fluxicon Disco
Accepted-In Progress,complete,--Org line C,2011-12-22 18:18:37+02:00,Accepted-In Progress,-,Org line C,1-628203323,Variant 247,247,Fluxicon Disco
Accepted-In Progress,complete,--Org line C,2011-12-22 18:21:45+02:00,Accepted-In Progress,-,Org line C,1-628203323,Variant 247,247,Fluxicon Disco
Accepted-Assigned,complete,Rajkishore-Org line C,2011-12-26 17:36:48+02:00,Accepted-Assigned,Rajkishore,Org line C,1-628203323,Variant 247,247,Fluxicon Disco
Accepted-In Progress,complete,Rajkishore-Org line C,2011-12-27 12:05:29+02:00,Accepted-In Progress,Rajkishore,Org line C,1-628203323,Variant 247,247,Fluxicon Disco
Accepted-Wait,complete,Rajkishore-Org line C,2012-01-17 22:43:17+02:00,Accepted-Wait,Rajkishore,Org line C,1-628203323,Variant 247,247,Fluxicon Disco
Accepted-In Progress,complete,Rajkishore-Org line C,2012-04-03 23:11:09+03:00,Accepted-In Progress,Rajkishore,Org line C,1-628203323,Variant 247,247,Fluxicon Disco
Completed-Closed,complete,Rajkishore-Org line C,2012-05-08 04:29:27+03:00,Completed-Closed,Rajkishore,Org line C,1-628203323,Variant 247,247,Fluxicon Disco
Accepted-In Progress,complete,Jay-Org line C,2011-12-22 21:57:48+02:00,Accepted-In Progress,Jay,Org line C,1-628222366,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Jay-Org line C,2012-01-18 15:51:27+02:00,Completed-Closed,Jay,Org line C,1-628222366,Variant 1,1,Fluxicon Disco
Accepted-In Progress,complete,Jay-Org line C,2011-12-22 21:59:12+02:00,Accepted-In Progress,Jay,Org line C,1-628255780,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Jay-Org line C,2012-01-18 15:51:12+02:00,Completed-Closed,Jay,Org line C,1-628255780,Variant 1,1,Fluxicon Disco
Accepted-In Progress,complete,Peter-Org line C,2011-12-23 11:46:51+02:00,Accepted-In Progress,Peter,Org line C,1-628669941,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Peter-Org line C,2012-01-02 10:24:05+02:00,Completed-Closed,Peter,Org line C,1-628669941,Variant 1,1,Fluxicon Disco
Accepted-In Progress,complete,Evane-Org line B,2011-12-23 12:16:00+02:00,Accepted-In Progress,Evane,Org line B,1-628704675,Variant 11,11,Fluxicon Disco
Queued-Awaiting Assignment,complete,Evane-Org line B,2011-12-23 12:17:34+02:00,Queued-Awaiting Assignment,Evane,Org line B,1-628704675,Variant 11,11,Fluxicon Disco
Accepted-In Progress,complete,Evane-Org line B,2012-01-04 13:45:11+02:00,Accepted-In Progress,Evane,Org line B,1-628704675,Variant 11,11,Fluxicon Disco
Queued-Awaiting Assignment,complete,Edney-Org line A2,2012-01-04 13:46:17+02:00,Queued-Awaiting Assignment,Edney,Org line A2,1-628704675,Variant 11,11,Fluxicon Disco
Accepted-In Progress,complete,Ilton-Org line A2,2012-03-30 15:14:17+03:00,Accepted-In Progress,Ilton,Org line A2,1-628704675,Variant 11,11,Fluxicon Disco
Completed-Closed,complete,Ilton-Org line A2,2012-03-30 15:30:41+03:00,Completed-Closed,Ilton,Org line A2,1-628704675,Variant 11,11,Fluxicon Disco
Accepted-In Progress,complete,Anders-Org line C,2011-12-27 08:53:22+02:00,Accepted-In Progress,Anders,Org line C,1-629642635,Variant 46,46,Fluxicon Disco
Accepted-In Progress,complete,Anders-Org line C,2011-12-27 08:58:58+02:00,Accepted-In Progress,Anders,Org line C,1-629642635,Variant 46,46,Fluxicon Disco
Accepted-Wait,complete,Anders-Org line C,2012-02-01 11:14:07+02:00,Accepted-Wait,Anders,Org line C,1-629642635,Variant 46,46,Fluxicon Disco
Accepted-In Progress,complete,Anders-Org line C,2012-03-20 15:29:41+02:00,Accepted-In Progress,Anders,Org line C,1-629642635,Variant 46,46,Fluxicon Disco
Completed-Closed,complete,Anders-Org line C,2012-03-20 15:30:25+02:00,Completed-Closed,Anders,Org line C,1-629642635,Variant 46,46,Fluxicon Disco
Accepted-In Progress,complete,Bart-Org line C,2011-12-27 09:06:43+02:00,Accepted-In Progress,Bart,Org line C,1-629618537,Variant 6,6,Fluxicon Disco
Accepted-Assigned,complete,Bart-Org line C,2011-12-27 09:07:18+02:00,Accepted-Assigned,Bart,Org line C,1-629618537,Variant 6,6,Fluxicon Disco
Accepted-In Progress,complete,Hugo-Org line C,2012-02-08 12:33:09+02:00,Accepted-In Progress,Hugo,Org line C,1-629618537,Variant 6,6,Fluxicon Disco
Completed-Closed,complete,Hugo-Org line C,2012-02-08 12:40:32+02:00,Completed-Closed,Hugo,Org line C,1-629618537,Variant 6,6,Fluxicon Disco
Accepted-In Progress,complete,Christian-Org line C,2011-12-27 10:05:25+02:00,Accepted-In Progress,Christian,Org line C,1-629629428,Variant 6,6,Fluxicon Disco
Accepted-Assigned,complete,Christian-Org line C,2012-02-21 09:04:40+02:00,Accepted-Assigned,Christian,Org line C,1-629629428,Variant 6,6,Fluxicon Disco
Accepted-In Progress,complete,Christian-Org line C,2012-05-24 16:40:31+03:00,Accepted-In Progress,Christian,Org line C,1-629629428,Variant 6,6,Fluxicon Disco
Completed-Closed,complete,Christian-Org line C,2012-05-24 16:41:49+03:00,Completed-Closed,Christian,Org line C,1-629629428,Variant 6,6,Fluxicon Disco
Accepted-In Progress,complete,Fredrik-Org line C,2011-12-28 05:10:10+02:00,Accepted-In Progress,Fredrik,Org line C,1-629991273,Variant 4,4,Fluxicon Disco
Accepted-In Progress,complete,Fredrik-Org line C,2012-02-01 13:01:35+02:00,Accepted-In Progress,Fredrik,Org line C,1-629991273,Variant 4,4,Fluxicon Disco
Completed-Closed,complete,Fredrik-Org line C,2012-02-01 13:02:09+02:00,Completed-Closed,Fredrik,Org line C,1-629991273,Variant 4,4,Fluxicon Disco
Accepted-In Progress,complete,Vinay-Org line C,2011-12-28 10:27:37+02:00,Accepted-In Progress,Vinay,Org line C,1-630156753,Variant 5,5,Fluxicon Disco
Queued-Awaiting Assignment,complete,Vinay-Org line C,2011-12-28 10:33:19+02:00,Queued-Awaiting Assignment,Vinay,Org line C,1-630156753,Variant 5,5,Fluxicon Disco
Accepted-In Progress,complete,Vinay-Org line C,2012-02-17 09:59:53+02:00,Accepted-In Progress,Vinay,Org line C,1-630156753,Variant 5,5,Fluxicon Disco
Completed-Closed,complete,Vinay-Org line C,2012-02-17 10:08:22+02:00,Completed-Closed,Vinay,Org line C,1-630156753,Variant 5,5,Fluxicon Disco
Accepted-In Progress,complete,Robert-Org line A2,2011-12-29 09:18:50+02:00,Accepted-In Progress,Robert,Org line A2,1-630493188,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Robert-Org line A2,2012-01-05 16:21:33+02:00,Completed-Closed,Robert,Org line A2,1-630493188,Variant 1,1,Fluxicon Disco
Accepted-In Progress,complete,Maria-Org line A2,2011-12-29 14:34:26+02:00,Accepted-In Progress,Maria,Org line A2,1-631001113,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Maria-Org line A2,2012-01-02 09:23:31+02:00,Completed-Closed,Maria,Org line A2,1-631001113,Variant 1,1,Fluxicon Disco
Accepted-In Progress,complete,Robert-Org line C,2011-12-30 01:45:55+02:00,Accepted-In Progress,Robert,Org line C,1-631117870,Variant 248,248,Fluxicon Disco
Accepted-Wait,complete,Robert-Org line C,2011-12-30 01:47:40+02:00,Accepted-Wait,Robert,Org line C,1-631117870,Variant 248,248,Fluxicon Disco
Accepted-Wait,complete,Robert-Org line C,2011-12-30 01:49:46+02:00,Accepted-Wait,Robert,Org line C,1-631117870,Variant 248,248,Fluxicon Disco
Queued-Awaiting Assignment,complete,Robert-Org line C,2012-01-24 10:38:12+02:00,Queued-Awaiting Assignment,Robert,Org line C,1-631117870,Variant 248,248,Fluxicon Disco
Accepted-In Progress,complete,Garima-Org line C,2012-01-25 10:53:18+02:00,Accepted-In Progress,Garima,Org line C,1-631117870,Variant 248,248,Fluxicon Disco
Accepted-Wait,complete,Garima-Org line C,2012-01-25 11:21:00+02:00,Accepted-Wait,Garima,Org line C,1-631117870,Variant 248,248,Fluxicon Disco
Queued-Awaiting Assignment,complete,Robert-Org line C,2012-03-07 14:19:55+02:00,Queued-Awaiting Assignment,Robert,Org line C,1-631117870,Variant 248,248,Fluxicon Disco
Accepted-In Progress,complete,Vaibhav-Org line C,2012-03-12 20:24:36+02:00,Accepted-In Progress,Vaibhav,Org line C,1-631117870,Variant 248,248,Fluxicon Disco
Completed-Closed,complete,Vaibhav-Org line C,2012-03-19 10:54:09+02:00,Completed-Closed,Vaibhav,Org line C,1-631117870,Variant 248,248,Fluxicon Disco
Accepted-In Progress,complete,Marlene-Org line G4,2011-12-30 16:51:11+02:00,Accepted-In Progress,Marlene,Org line G4,1-631509503,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Marlene-Org line G4,2012-02-01 15:00:43+02:00,Completed-Closed,Marlene,Org line G4,1-631509503,Variant 1,1,Fluxicon Disco
Accepted-In Progress,complete,Johan-Org line G4,2012-01-02 15:13:30+02:00,Accepted-In Progress,Johan,Org line G4,1-632486751,Variant 6,6,Fluxicon Disco
Accepted-Assigned,complete,Johan-Org line G4,2012-01-24 14:04:38+02:00,Accepted-Assigned,Johan,Org line G4,1-632486751,Variant 6,6,Fluxicon Disco
Accepted-In Progress,complete,Johan-Org line G4,2012-01-24 14:05:35+02:00,Accepted-In Progress,Johan,Org line G4,1-632486751,Variant 6,6,Fluxicon Disco
Completed-Closed,complete,Johan-Org line G4,2012-01-24 14:06:57+02:00,Completed-Closed,Johan,Org line G4,1-632486751,Variant 6,6,Fluxicon Disco
Accepted-In Progress,complete,Srinivasan-Org line B,2012-01-03 15:40:35+02:00,Accepted-In Progress,Srinivasan,Org line B,1-633036453,Variant 5,5,Fluxicon Disco
Queued-Awaiting Assignment,complete,Srinivasan-Org line B,2012-01-03 15:53:17+02:00,Queued-Awaiting Assignment,Srinivasan,Org line B,1-633036453,Variant 5,5,Fluxicon Disco
Accepted-In Progress,complete,Rijin-Org line B,2012-01-03 15:54:20+02:00,Accepted-In Progress,Rijin,Org line B,1-633036453,Variant 5,5,Fluxicon Disco
Completed-Closed,complete,Rijin-Org line B,2012-02-29 14:48:12+02:00,Completed-Closed,Rijin,Org line B,1-633036453,Variant 5,5,Fluxicon Disco
Accepted-In Progress,complete,Johnny-Org line C,2012-01-03 15:53:21+02:00,Accepted-In Progress,Johnny,Org line C,1-633092732,Variant 4,4,Fluxicon Disco
Accepted-In Progress,complete,Johnny-Org line C,2012-01-19 08:35:48+02:00,Accepted-In Progress,Johnny,Org line C,1-633092732,Variant 4,4,Fluxicon Disco
Completed-Closed,complete,Johnny-Org line C,2012-01-19 08:39:52+02:00,Completed-Closed,Johnny,Org line C,1-633092732,Variant 4,4,Fluxicon Disco
Accepted-In Progress,complete,Sean-Org line C,2012-01-03 22:31:30+02:00,Accepted-In Progress,Sean,Org line C,1-633184307,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Sean-Org line C,2012-03-14 15:23:58+02:00,Completed-Closed,Sean,Org line C,1-633184307,Variant 1,1,Fluxicon Disco
Accepted-In Progress,complete,Sathish-Org line C,2012-01-04 11:39:31+02:00,Accepted-In Progress,Sathish,Org line C,1-634447637,Variant 7,7,Fluxicon Disco
Accepted-Wait,complete,Sathish-Org line C,2012-01-04 11:42:06+02:00,Accepted-Wait,Sathish,Org line C,1-634447637,Variant 7,7,Fluxicon Disco
Accepted-In Progress,complete,Sathish-Org line C,2012-01-30 06:05:16+02:00,Accepted-In Progress,Sathish,Org line C,1-634447637,Variant 7,7,Fluxicon Disco
Completed-Closed,complete,Sathish-Org line C,2012-01-30 06:05:38+02:00,Completed-Closed,Sathish,Org line C,1-634447637,Variant 7,7,Fluxicon Disco
Accepted-In Progress,complete,Johan-Org line A2,2012-01-04 12:28:12+02:00,Accepted-In Progress,Johan,Org line A2,1-634479154,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Johan-Org line A2,2012-03-06 11:06:32+02:00,Completed-Closed,Johan,Org line A2,1-634479154,Variant 1,1,Fluxicon Disco
Accepted-In Progress,complete,Vikrant-Org line A2,2012-01-04 12:50:05+02:00,Accepted-In Progress,Vikrant,Org line A2,1-634487640,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Vikrant-Org line A2,2012-01-25 15:31:46+02:00,Completed-Closed,Vikrant,Org line A2,1-634487640,Variant 1,1,Fluxicon Disco
Accepted-In Progress,complete,Kjell-Org line C,2012-01-04 13:36:18+02:00,Accepted-In Progress,Kjell,Org line C,1-634506651,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Kjell-Org line C,2012-01-04 13:53:35+02:00,Completed-Closed,Kjell,Org line C,1-634506651,Variant 1,1,Fluxicon Disco
Accepted-In Progress,complete,Peter-Org line C,2012-01-04 14:02:22+02:00,Accepted-In Progress,Peter,Org line C,1-634533656,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Peter-Org line C,2012-01-09 14:11:00+02:00,Completed-Closed,Peter,Org line C,1-634533656,Variant 1,1,Fluxicon Disco
Accepted-In Progress,complete,Frederic-Org line C,2012-01-05 14:27:48+02:00,Accepted-In Progress,Frederic,Org line C,1-635351501,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Frederic-Org line C,2012-05-14 09:42:53+03:00,Completed-Closed,Frederic,Org line C,1-635351501,Variant 1,1,Fluxicon Disco
Accepted-In Progress,complete,Patrik-Org line C,2012-01-05 15:10:14+02:00,Accepted-In Progress,Patrik,Org line C,1-635404161,Variant 3,3,Fluxicon Disco
Accepted-Wait,complete,Patrik-Org line C,2012-01-05 15:10:27+02:00,Accepted-Wait,Patrik,Org line C,1-635404161,Variant 3,3,Fluxicon Disco
Completed-Closed,complete,Patrik-Org line C,2012-01-24 10:30:20+02:00,Completed-Closed,Patrik,Org line C,1-635404161,Variant 3,3,Fluxicon Disco
Accepted-In Progress,complete,Ewa-Org line G3,2012-01-05 15:48:54+02:00,Accepted-In Progress,Ewa,Org line G3,1-635382525,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Ewa-Org line G3,2012-01-10 16:36:47+02:00,Completed-Closed,Ewa,Org line G3,1-635382525,Variant 1,1,Fluxicon Disco
Accepted-In Progress,complete,Prasad-Org line C,2012-01-06 16:40:03+02:00,Accepted-In Progress,Prasad,Org line C,1-636080278,Variant 249,249,Fluxicon Disco
Queued-Awaiting Assignment,complete,Prasad-Org line C,2012-01-06 16:51:57+02:00,Queued-Awaiting Assignment,Prasad,Org line C,1-636080278,Variant 249,249,Fluxicon Disco
Accepted-In Progress,complete,Pushkar-Org line C,2012-01-06 16:59:41+02:00,Accepted-In Progress,Pushkar,Org line C,1-636080278,Variant 249,249,Fluxicon Disco
Queued-Awaiting Assignment,complete,Rafal-Org line C,2012-01-06 17:06:24+02:00,Queued-Awaiting Assignment,Rafal,Org line C,1-636080278,Variant 249,249,Fluxicon Disco
Queued-Awaiting Assignment,complete,Prasad-Org line C,2012-01-09 13:54:45+02:00,Queued-Awaiting Assignment,Prasad,Org line C,1-636080278,Variant 249,249,Fluxicon Disco
Accepted-In Progress,complete,Jitender-Org line C,2012-01-09 16:28:35+02:00,Accepted-In Progress,Jitender,Org line C,1-636080278,Variant 249,249,Fluxicon Disco
Queued-Awaiting Assignment,complete,Malin-Org line C,2012-01-09 16:30:19+02:00,Queued-Awaiting Assignment,Malin,Org line C,1-636080278,Variant 249,249,Fluxicon Disco
Accepted-In Progress,complete,Jaroslaw-Org line C,2012-01-10 12:10:26+02:00,Accepted-In Progress,Jaroslaw,Org line C,1-636080278,Variant 249,249,Fluxicon Disco
Queued-Awaiting Assignment,complete,Aaron-Org line C,2012-01-10 12:24:16+02:00,Queued-Awaiting Assignment,Aaron,Org line C,1-636080278,Variant 249,249,Fluxicon Disco
Accepted-In Progress,complete,Aaron-Org line C,2012-02-01 16:21:10+02:00,Accepted-In Progress,Aaron,Org line C,1-636080278,Variant 249,249,Fluxicon Disco
Completed-Closed,complete,Aaron-Org line C,2012-02-01 16:21:59+02:00,Completed-Closed,Aaron,Org line C,1-636080278,Variant 249,249,Fluxicon Disco
Accepted-In Progress,complete,Robert-Org line C,2012-01-06 17:05:47+02:00,Accepted-In Progress,Robert,Org line C,1-636102195,Variant 250,250,Fluxicon Disco
Accepted-Wait,complete,Robert-Org line C,2012-01-06 17:15:10+02:00,Accepted-Wait,Robert,Org line C,1-636102195,Variant 250,250,Fluxicon Disco
Queued-Awaiting Assignment,complete,Robert-Org line C,2012-01-21 04:17:23+02:00,Queued-Awaiting Assignment,Robert,Org line C,1-636102195,Variant 250,250,Fluxicon Disco
Accepted-Assigned,complete,Hineesh-Org line C,2012-02-29 14:04:23+02:00,Accepted-Assigned,Hineesh,Org line C,1-636102195,Variant 250,250,Fluxicon Disco
Accepted-Wait,complete,Hineesh-Org line C,2012-03-05 17:30:53+02:00,Accepted-Wait,Hineesh,Org line C,1-636102195,Variant 250,250,Fluxicon Disco
Completed-Closed,complete,Hineesh-Org line C,2012-03-28 18:51:35+03:00,Completed-Closed,Hineesh,Org line C,1-636102195,Variant 250,250,Fluxicon Disco
Accepted-In Progress,complete,Mikael-Org line G4,2012-01-07 12:40:01+02:00,Accepted-In Progress,Mikael,Org line G4,1-636501102,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Mikael-Org line G4,2012-01-30 19:01:01+02:00,Completed-Closed,Mikael,Org line G4,1-636501102,Variant 1,1,Fluxicon Disco
Accepted-In Progress,complete,Karin-Org line G1,2012-01-09 08:56:13+02:00,Accepted-In Progress,Karin,Org line G1,1-636789520,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Karin-Org line G1,2012-02-20 09:57:45+02:00,Completed-Closed,Karin,Org line G1,1-636789520,Variant 1,1,Fluxicon Disco
Accepted-In Progress,complete,Beata-Org line A2,2012-01-09 09:30:45+02:00,Accepted-In Progress,Beata,Org line A2,1-636849620,Variant 17,17,Fluxicon Disco
Accepted-Assigned,complete,Beata-Org line A2,2012-01-09 09:33:25+02:00,Accepted-Assigned,Beata,Org line A2,1-636849620,Variant 17,17,Fluxicon Disco
Accepted-In Progress,complete,Beata-Org line A2,2012-02-17 09:57:41+02:00,Accepted-In Progress,Beata,Org line A2,1-636849620,Variant 17,17,Fluxicon Disco
Accepted-Wait,complete,Beata-Org line A2,2012-03-28 14:25:34+03:00,Accepted-Wait,Beata,Org line A2,1-636849620,Variant 17,17,Fluxicon Disco
Completed-Closed,complete,Beata-Org line A2,2012-03-30 16:14:33+03:00,Completed-Closed,Beata,Org line A2,1-636849620,Variant 17,17,Fluxicon Disco
Accepted-In Progress,complete,Ann-Org line A2,2012-01-09 10:07:32+02:00,Accepted-In Progress,Ann,Org line A2,1-636867758,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Ann-Org line A2,2012-03-30 14:14:54+03:00,Completed-Closed,Ann,Org line A2,1-636867758,Variant 1,1,Fluxicon Disco
Accepted-In Progress,complete,Jitender-Org line C,2012-01-09 11:19:06+02:00,Accepted-In Progress,Jitender,Org line C,1-636931254,Variant 252,252,Fluxicon Disco
Accepted-In Progress,complete,Jitender-Org line C,2012-01-09 11:21:20+02:00,Accepted-In Progress,Jitender,Org line C,1-636931254,Variant 252,252,Fluxicon Disco
Accepted-In Progress,complete,Jitender-Org line C,2012-01-09 12:44:21+02:00,Accepted-In Progress,Jitender,Org line C,1-636931254,Variant 252,252,Fluxicon Disco
Queued-Awaiting Assignment,complete,Prasad-Org line C,2012-01-09 12:45:27+02:00,Queued-Awaiting Assignment,Prasad,Org line C,1-636931254,Variant 252,252,Fluxicon Disco
Accepted-In Progress,complete,Jitender-Org line C,2012-01-09 12:45:51+02:00,Accepted-In Progress,Jitender,Org line C,1-636931254,Variant 252,252,Fluxicon Disco
Queued-Awaiting Assignment,complete,Prasad-Org line C,2012-01-09 12:46:05+02:00,Queued-Awaiting Assignment,Prasad,Org line C,1-636931254,Variant 252,252,Fluxicon Disco
Accepted-In Progress,complete,Jitender-Org line C,2012-01-09 12:46:41+02:00,Accepted-In Progress,Jitender,Org line C,1-636931254,Variant 252,252,Fluxicon Disco
Completed-Closed,complete,Jitender-Org line C,2012-01-09 13:59:51+02:00,Completed-Closed,Jitender,Org line C,1-636931254,Variant 252,252,Fluxicon Disco
Accepted-In Progress,complete,Jitender-Org line C,2012-01-24 15:00:13+02:00,Accepted-In Progress,Jitender,Org line C,1-636931254,Variant 252,252,Fluxicon Disco
Queued-Awaiting Assignment,complete,Prasad-Org line C,2012-01-24 15:05:59+02:00,Queued-Awaiting Assignment,Prasad,Org line C,1-636931254,Variant 252,252,Fluxicon Disco
Accepted-In Progress,complete,Jitender-Org line C,2012-01-24 15:06:00+02:00,Accepted-In Progress,Jitender,Org line C,1-636931254,Variant 252,252,Fluxicon Disco
Accepted-In Progress,complete,Jitender-Org line C,2012-01-24 15:07:11+02:00,Accepted-In Progress,Jitender,Org line C,1-636931254,Variant 252,252,Fluxicon Disco
Completed-Closed,complete,Jitender-Org line C,2012-01-24 15:23:47+02:00,Completed-Closed,Jitender,Org line C,1-636931254,Variant 252,252,Fluxicon Disco
Accepted-In Progress,complete,Jitender-Org line C,2012-02-09 11:00:51+02:00,Accepted-In Progress,Jitender,Org line C,1-636931254,Variant 252,252,Fluxicon Disco
Accepted-Assigned,complete,Prasad-Org line C,2012-02-09 11:01:34+02:00,Accepted-Assigned,Prasad,Org line C,1-636931254,Variant 252,252,Fluxicon Disco
Accepted-In Progress,complete,Jitender-Org line C,2012-02-09 11:01:40+02:00,Accepted-In Progress,Jitender,Org line C,1-636931254,Variant 252,252,Fluxicon Disco
Completed-Closed,complete,Jitender-Org line C,2012-02-09 11:14:43+02:00,Completed-Closed,Jitender,Org line C,1-636931254,Variant 252,252,Fluxicon Disco
Accepted-In Progress,complete,Jitender-Org line C,2012-02-09 12:35:52+02:00,Accepted-In Progress,Jitender,Org line C,1-636931254,Variant 252,252,Fluxicon Disco
